"name","pos","sourceName","name_fp","team_fp","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","returnTds","twoPts","fumbles","fg","xp","points"
"DEMARYIUSTHOMAS","WR","fp","Demaryius Thomas","DEN",2,35,NA,NA,NA,NA,NA,0,0,0,101.7,1385.7,11.4,NA,NA,0.5,NA,NA,206.2
"NICKFOLES","QB","fp","Nick Foles","STL",27,36,501.2,305.3,3472.8,19.9,14.1,38.4,165.2,1,NA,NA,NA,NA,NA,4.1,NA,NA,204.8
"DEMARCOMURRAY","RB","fp","DeMarco Murray","PHI",8,37,NA,NA,NA,NA,NA,258.9,1181.6,10.1,37.5,272.3,1,NA,NA,4.8,NA,NA,202
"ODELLBECKHAM","WR","fp","Odell Beckham Jr.","NYG",3,38,NA,NA,NA,NA,NA,5.2,34.9,0.1,101.6,1385.9,10.1,NA,NA,1.3,NA,NA,200.4
"DEZBRYANT","WR","fp","Dez Bryant","DAL",4,39,NA,NA,NA,NA,NA,0.1,0.4,0,89.1,1326.5,11.4,NA,NA,0.8,NA,NA,199.6
"JEREMYHILL","RB","fp","Jeremy Hill","CIN",9,40,NA,NA,NA,NA,NA,256.7,1183.9,9,28.5,223.7,1,NA,NA,4,NA,NA,192.8
"CALVINJOHNSON","WR","fp","Calvin Johnson","DET",5,41,NA,NA,NA,NA,NA,0,0,0,86.9,1310.7,10,NA,NA,0.5,NA,NA,190.3
"JULIOJONES","WR","fp","Julio Jones","ATL",6,42,NA,NA,NA,NA,NA,1.7,10.1,0,101.9,1406.9,8.3,NA,NA,1.8,NA,NA,187.8
"RANDALLCOBB","WR","fp","Randall Cobb","GB",7,43,NA,NA,NA,NA,NA,9.3,72.3,0.1,91.9,1259.1,9.3,NA,NA,1.5,NA,NA,186.1
"LESEANMCCOY","RB","fp","LeSean McCoy","BUF",10,44,NA,NA,NA,NA,NA,282.5,1236.2,6.2,35.2,242,0.9,NA,NA,2.9,NA,NA,185
"JUSTINFORSETT","RB","fp","Justin Forsett","BAL",11,45,NA,NA,NA,NA,NA,216.1,1043.5,5.7,53.4,376.2,1.4,NA,NA,1.8,NA,NA,181.1
"AJGREEN","WR","fp","A.J. Green","CIN",8,46,NA,NA,NA,NA,NA,2.7,17.1,0,93.8,1289.2,8.3,NA,NA,2.2,NA,NA,176.2
"LAMARMILLER","RB","fp","Lamar Miller","MIA",12,47,NA,NA,NA,NA,NA,228.1,1055.2,6.7,38.2,284,1.1,NA,NA,2.6,NA,NA,175.2
"ROBGRONKOWSKI","TE","fp","Rob Gronkowski","NE",1,48,NA,NA,NA,NA,NA,NA,NA,NA,84.3,1101.2,10.4,NA,NA,0.3,NA,NA,172.1
"MARKINGRAM","RB","fp","Mark Ingram","NO",13,49,NA,NA,NA,NA,NA,230.3,1004.8,9,26.5,178,0.6,NA,NA,2,NA,NA,171.7
"ALSHONJEFFERY","WR","fp","Alshon Jeffery","CHI",9,50,NA,NA,NA,NA,NA,5.4,34.9,0,85.8,1170.9,8.6,NA,NA,0.8,NA,NA,170.7
"TYRODTAYLOR","QB","fp","Tyrod Taylor","BUF",28,51,395.2,239.5,2615.7,15.2,14,62.2,297.5,1.7,NA,NA,NA,NA,NA,3.5,NA,NA,170.4
"LATAVIUSMURRAY","RB","fp","Latavius Murray","OAK",14,52,NA,NA,NA,NA,NA,221.6,1000.5,5.9,33.1,265.8,1,NA,NA,1.6,NA,NA,165.1
"MELVINGORDON","RB","fp","Melvin Gordon","SD",15,53,NA,NA,NA,NA,NA,230.2,1023.6,5.7,31.1,248,1.3,NA,NA,2.2,NA,NA,164.9
"MIKEEVANS","WR","fp","Mike Evans","TB",10,54,NA,NA,NA,NA,NA,0,0,0,78.8,1164.7,8.3,NA,NA,0.7,NA,NA,164.7
"TYHILTON","WR","fp","T.Y. Hilton","IND",11,55,NA,NA,NA,NA,NA,2.7,17.4,0,84.9,1208.5,7.3,NA,NA,1.3,NA,NA,164.1
"FRANKGORE","RB","fp","Frank Gore","IND",16,56,NA,NA,NA,NA,NA,233.7,949.3,6.4,32.8,271.6,1.5,NA,NA,2.6,NA,NA,164
"JOSHMCCOWN","QB","fp","Josh McCown","CLE",29,57,437.5,253.8,3001.5,14,13.8,37.3,172.9,1.6,NA,NA,NA,NA,NA,6.3,NA,NA,163.2
"CARLOSHYDE","RB","fp","Carlos Hyde","SF",17,58,NA,NA,NA,NA,NA,239.6,1008.8,7.1,25.2,181.9,0.6,NA,NA,2,NA,NA,160.9
"EMMANUELSANDERS","WR","fp","Emmanuel Sanders","DEN",12,59,NA,NA,NA,NA,NA,4.8,30.6,0.1,82.5,1113.3,7.5,NA,NA,0.6,NA,NA,158.5
"ALFREDMORRIS","RB","fp","Alfred Morris","WAS",18,60,NA,NA,NA,NA,NA,235.2,1027.7,6.6,20.1,153.3,0.6,NA,NA,2,NA,NA,157.3
"KIRKCOUSINS","QB","fp","Kirk Cousins","WAS",30,61,413.4,255.6,3029.9,15.4,14.1,18.4,70.2,0.3,NA,NA,NA,NA,NA,3.9,NA,NA,155.7
"ARIANFOSTER","RB","fp","Arian Foster","HOU",19,62,NA,NA,NA,NA,NA,191.8,873.9,5.4,32.9,271.4,2,NA,NA,1.9,NA,NA,154.8
